District,Zone,Geographical Region,Development Region,Year BS,Year AD,Number of Voters
Udayapur,Sagarmatha,Hill,Eastern,2047,1990,116355
Udayapur,Sagarmatha,Hill,Eastern,2050,1993,133916
Udayapur,Sagarmatha,Hill,Eastern,2056,1999,154707
Udayapur,Sagarmatha,Hill,Eastern,2057,2000,171351
Udayapur,Sagarmatha,Hill,Eastern,2058,2001,177630
Udayapur,Sagarmatha,Hill,Eastern,2059,2002,179901
Udayapur,Sagarmatha,Hill,Eastern,2060,2003,185736
Udayapur,Sagarmatha,Hill,Eastern,2061,2004,187954
Udayapur,Sagarmatha,Hill,Eastern,2062,2005,195384
Udayapur,Sagarmatha,Hill,Eastern,2063,2006,220028
Saptari,Sagarmatha,Terai,Eastern,2047,1990,266173
Saptari,Sagarmatha,Terai,Eastern,2050,1993,294961
Saptari,Sagarmatha,Terai,Eastern,2056,1999,346837
Saptari,Sagarmatha,Terai,Eastern,2057,2000,367566
Saptari,Sagarmatha,Terai,Eastern,2058,2001,377818
Saptari,Sagarmatha,Terai,Eastern,2059,2002,378434
Saptari,Sagarmatha,Terai,Eastern,2060,2003,376067
Saptari,Sagarmatha,Terai,Eastern,2061,2004,375378
Saptari,Sagarmatha,Terai,Eastern,2062,2005,375751
Saptari,Sagarmatha,Terai,Eastern,2063,2006,416712
Siraha,Sagarmatha,Terai,Eastern,2047,1990,265339
Siraha,Sagarmatha,Terai,Eastern,2050,1993,291492
Siraha,Sagarmatha,Terai,Eastern,2056,1999,346479
Siraha,Sagarmatha,Terai,Eastern,2057,2000,366696
Siraha,Sagarmatha,Terai,Eastern,2058,2001,378309
Siraha,Sagarmatha,Terai,Eastern,2059,2002,384789
Siraha,Sagarmatha,Terai,Eastern,2060,2003,389870
Siraha,Sagarmatha,Terai,Eastern,2061,2004,392270
Siraha,Sagarmatha,Terai,Eastern,2062,2005,396201
Siraha,Sagarmatha,Terai,Eastern,2063,2006,434353
Dolakha,Janakpur,Mountain,Central,2047,1990,117778
Dolakha,Janakpur,Mountain,Central,2050,1993,126423
Dolakha,Janakpur,Mountain,Central,2056,1999,131336
Dolakha,Janakpur,Mountain,Central,2057,2000,138647
Dolakha,Janakpur,Mountain,Central,2058,2001,140727
Dolakha,Janakpur,Mountain,Central,2059,2002,143678
Dolakha,Janakpur,Mountain,Central,2060,2003,147490
Dolakha,Janakpur,Mountain,Central,2061,2004,148919
Dolakha,Janakpur,Mountain,Central,2062,2005,152519
Dolakha,Janakpur,Mountain,Central,2063,2006,165928
Ramechhap,Janakpur,Hill,Central,2047,1990,123373
Ramechhap,Janakpur,Hill,Central,2050,1993,131698
Ramechhap,Janakpur,Hill,Central,2056,1999,145295
Ramechhap,Janakpur,Hill,Central,2057,2000,151824
Ramechhap,Janakpur,Hill,Central,2058,2001,153379
Ramechhap,Janakpur,Hill,Central,2059,2002,154898
Ramechhap,Janakpur,Hill,Central,2060,2003,156032
Ramechhap,Janakpur,Hill,Central,2061,2004,156689
Ramechhap,Janakpur,Hill,Central,2062,2005,162748
Ramechhap,Janakpur,Hill,Central,2063,2006,180026
Sindhuli,Janakpur,Hill,Central,2047,1990,127543
Sindhuli,Janakpur,Hill,Central,2050,1993,144606
Sindhuli,Janakpur,Hill,Central,2056,1999,156896
Sindhuli,Janakpur,Hill,Central,2057,2000,167603
Sindhuli,Janakpur,Hill,Central,2058,2001,170783
Sindhuli,Janakpur,Hill,Central,2059,2002,172338
Sindhuli,Janakpur,Hill,Central,2060,2003,174988
Sindhuli,Janakpur,Hill,Central,2061,2004,175792
Sindhuli,Janakpur,Hill,Central,2062,2005,178031
Sindhuli,Janakpur,Hill,Central,2063,2006,202918
Dhanusa,Janakpur,Terai,Central,2047,1990,306065
Dhanusa,Janakpur,Terai,Central,2050,1993,339993
Dhanusa,Janakpur,Terai,Central,2056,1999,373767
Dhanusa,Janakpur,Terai,Central,2057,2000,388825
Dhanusa,Janakpur,Terai,Central,2058,2001,400272
Dhanusa,Janakpur,Terai,Central,2059,2002,399937
Dhanusa,Janakpur,Terai,Central,2060,2003,397528
